Date,Open,High,Low,Close
1980-01-02,85.32,85.32,85.32,85.32
1980-01-03,85.26,85.26,85.26,85.26
1980-01-04,85.23,85.23,85.23,85.23
1980-01-07,84.79,84.79,84.79,84.79
1980-01-08,85.07,85.07,85.07,85.07
1980-01-09,85.02,85.02,85.02,85.02
1980-01-10,85.21,85.21,85.21,85.21
1980-01-11,85.35,85.35,85.35,85.35
1980-01-14,85.23,85.23,85.23,85.23
1980-01-15,85.64001,85.64001,85.64001,85.64001
1980-01-16,85.4,85.4,85.4,85.4
1980-01-17,85.52,85.52,85.52,85.52
1980-01-18,85.45,85.45,85.45,85.45
1980-01-21,85.7,85.7,85.7,85.7
1980-01-22,85.8,85.8,85.8,85.8
1980-01-23,85.56,85.56,85.56,85.56
1980-01-24,85.71,85.71,85.71,85.71
1980-01-25,85.94,85.94,85.94,85.94
1980-01-28,86.1,86.1,86.1,86.1
1980-01-29,86.02,86.02,86.02,86.02
1980-01-30,85.96,85.96,85.96,85.96
1980-01-31,86.14001,86.14001,86.14001,86.14001
1980-02-01,86.13,86.13,86.13,86.13
1980-02-04,86.05,86.05,86.05,86.05
1980-02-05,86.02,86.02,86.02,86.02
1980-02-06,85.62,85.62,85.62,85.62
1980-02-07,85.8,85.8,85.8,85.8
1980-02-08,85.94,85.94,85.94,85.94
1980-02-11,85.85,85.85,85.85,85.85
1980-02-13,85.77,85.77,85.77,85.77
1980-02-14,85.84,85.84,85.84,85.84
1980-02-15,86.1,86.1,86.1,86.1
1980-02-19,86.51,86.51,86.51,86.51
1980-02-20,86.48,86.48,86.48,86.48
1980-02-21,86.41,86.41,86.41,86.41
1980-02-22,86.92,86.92,86.92,86.92
1980-02-25,87.05,87.05,87.05,87.05
1980-02-26,87.08001,87.08001,87.08001,87.08001
1980-02-27,86.9,86.9,86.9,86.9
1980-02-28,87.01,87.01,87.01,87.01
1980-02-29,87.65,87.65,87.65,87.65
1980-03-03,87.85,87.85,87.85,87.85
1980-03-04,88.08001,88.08001,88.08001,88.08001
1980-03-05,87.99,87.99,87.99,87.99
1980-03-06,88.32,88.32,88.32,88.32
1980-03-07,88.41,88.41,88.41,88.41
1980-03-10,88.89001,88.89001,88.89001,88.89001
1980-03-11,88.93,88.93,88.93,88.93
1980-03-12,88.8,88.8,88.8,88.8
1980-03-13,89.27,89.27,89.27,89.27
1980-03-14,89.82,89.82,89.82,89.82
1980-03-17,91.27,91.27,91.27,91.27
1980-03-18,91.35,91.35,91.35,91.35
1980-03-19,91.09,91.09,91.09,91.09
1980-03-20,90.84,90.84,90.84,90.84
1980-03-21,91.26,91.26,91.26,91.26
1980-03-24,91.61,91.61,91.61,91.61
1980-03-25,91.84,91.84,91.84,91.84
1980-03-26,91.75,91.75,91.75,91.75
1980-03-27,92.49,92.49,92.49,92.49
1980-03-28,92.83001,92.83001,92.83001,92.83001
1980-03-31,93.58001,93.58001,93.58001,93.58001
1980-04-01,94.22,94.22,94.22,94.22
1980-04-02,94.07,94.07,94.07,94.07
1980-04-03,94.37,94.37,94.37,94.37
1980-04-04,94.67,94.67,94.67,94.67
1980-04-07,94.88,94.88,94.88,94.88
1980-04-08,93.46,93.46,93.46,93.46
1980-04-09,91.63,91.63,91.63,91.63
1980-04-10,91.07,91.07,91.07,91.07
1980-04-11,91.26,91.26,91.26,91.26
1980-04-14,91.02,91.02,91.02,91.02
1980-04-15,91.81,91.81,91.81,91.81
1980-04-16,90.57,90.57,90.57,90.57
1980-04-17,90.51,90.51,90.51,90.51
1980-04-18,90.5,90.5,90.5,90.5
1980-04-21,90.15,90.15,90.15,90.15
1980-04-22,90.55,90.55,90.55,90.55
1980-04-23,88.87,88.87,88.87,88.87
1980-04-24,88.83001,88.83001,88.83001,88.83001
1980-04-25,88.68,88.68,88.68,88.68
1980-04-28,88.04,88.04,88.04,88.04
1980-04-29,88.01,88.01,88.01,88.01
1980-04-30,88.11,88.11,88.11,88.11
1980-05-01,88.22,88.22,88.22,88.22
1980-05-02,88.9,88.9,88.9,88.9
1980-05-05,87.84,87.84,87.84,87.84
1980-05-06,87.41,87.41,87.41,87.41
1980-05-07,87.21,87.21,87.21,87.21
1980-05-08,87.5,87.5,87.5,87.5
1980-05-09,88.01,88.01,88.01,88.01
1980-05-12,87.08001,87.08001,87.08001,87.08001
1980-05-13,87.23,87.23,87.23,87.23
1980-05-14,86.92,86.92,86.92,86.92
1980-05-15,86.97,86.97,86.97,86.97
1980-05-16,87.24,87.24,87.24,87.24
1980-05-19,87.39001,87.39001,87.39001,87.39001
1980-05-20,87.24,87.24,87.24,87.24
1980-05-21,86.38,86.38,86.38,86.38
1980-05-22,86.37,86.37,86.37,86.37
1980-05-23,85.78,85.78,85.78,85.78
1980-05-27,85.15,85.15,85.15,85.15
1980-05-28,85.68,85.68,85.68,85.68
1980-05-29,85.9,85.9,85.9,85.9
1980-05-30,85.93,85.93,85.93,85.93
1980-06-02,86.09,86.09,86.09,86.09
1980-06-03,86.07,86.07,86.07,86.07
1980-06-04,85.8,85.8,85.8,85.8
1980-06-05,85.72,85.72,85.72,85.72
1980-06-06,85.5,85.5,85.5,85.5
1980-06-09,84.99,84.99,84.99,84.99
1980-06-10,85.02,85.02,85.02,85.02
1980-06-11,85.19,85.19,85.19,85.19
1980-06-12,85.07,85.07,85.07,85.07
1980-06-13,84.75,84.75,84.75,84.75
1980-06-16,85.12,85.12,85.12,85.12
1980-06-17,85.16,85.16,85.16,85.16
1980-06-18,85.02,85.02,85.02,85.02
1980-06-19,85.16,85.16,85.16,85.16
1980-06-20,85.25,85.25,85.25,85.25
1980-06-23,85.14001,85.14001,85.14001,85.14001
1980-06-24,85.27,85.27,85.27,85.27
1980-06-25,85.32,85.32,85.32,85.32
1980-06-26,85.16,85.16,85.16,85.16
1980-06-27,85.13,85.13,85.13,85.13
1980-06-30,85.2,85.2,85.2,85.2
1980-07-01,85.1,85.1,85.1,85.1
1980-07-02,85,85,85,85
1980-07-03,84.89001,84.89001,84.89001,84.89001
1980-07-07,84.19,84.19,84.19,84.19
1980-07-08,84.27,84.27,84.27,84.27
