date,btc_close,macro_gate,price_gate,sent_gate,fed_delta,dm_m2_yoy,dxy,real_yld,etf_3d,funding,btc_50d,btc_200d,fitted_price,beta_dm2,beta_dxy,beta_real,beta_etf,beta_gm2,intercept,refit_date,refit_r2,refit_n,m2_stale_days,etf_3d_stale,row_hash
2025-08-11,118601.0,0,1,0,-1735.0,0.0421953,,1.88,,,111594.62,98196.261,,,,,,,,,,,72,1,81510c86e0b7
2025-08-12,119853.0,0,1,0,-1735.0,0.0421953,,1.87,,,111885.04,98444.2815,,,,,,,,,,,73,1,2c03b3e53fd2
2025-08-13,122596.0,0,1,0,-1735.0,0.0421953,,1.91,,,112238.3,98711.5485,,,,,,,,,,,74,1,c14549621350
2025-08-14,117952.0,0,1,0,2772.0,0.0421953,,1.87,,0.1095,112564.62,98961.7965,,,,,,,,,,,75,1,4998062e0667
2025-08-15,116974.0,0,1,0,2772.0,0.0421953,97.852,1.9,,,112818.58,99198.8715,,,,,,,,,,,78,1,71bc381aef4d
2025-08-18,116680.0,0,1,0,2772.0,0.0421953,,1.95,,,112953.24,99403.851,,,,,,,,,,,79,1,a2576826914f
2025-08-19,113435.0,0,1,0,2772.0,0.0421953,,1.96,,,113024.36,99591.68,,,,,,,,,,,80,1,2d19f1932d7b
2025-08-20,114453.0,0,1,0,2772.0,0.0421953,,1.95,,,113142.3,99780.5315,,,,,,,,,,,81,1,7bc36e74d36a
2025-08-21,112607.0,0,0,0,-25200.0,0.0421953,,1.94,,,113273.76,99902.533,,,,,,,,,,,82,1,663a703a5e2b
2025-08-22,116617.0,0,1,0,-25200.0,0.0421953,97.716,1.94,,,113501.38,100042.4865,,,,,,,,,,,85,1,d9ebb5e20b4b
2025-08-25,110169.0,0,0,0,-25200.0,0.0421953,,1.85,,,113533.42,100144.406,,,,,,,,,,,86,1,1153c1a60447
2025-08-26,111470.0,0,0,0,-25200.0,0.04822258,,1.87,,,113665.84,100261.8135,,,,,,,,,,,57,1,aa0742cb2c18
2025-08-27,111512.0,0,0,0,-25200.0,0.04822258,98.232,1.84,,,113796.7,100363.642,,,,,,,,,,,58,1,2c5db6143989
2025-08-28,112060.0,0,0,0,-15031.0,0.04822258,,1.81,,,113950.74,100467.931,,,,,,,,,,,59,1,7d1629b6abe3
2025-08-29,108198.0,0,0,0,-15031.0,0.04822258,97.771,1.81,,,114045.7,100549.1455,,,,,,,,,,,62,1,5f990de3d57d
